index;start_s;end_s;recognized;best_distance;second;second_distance;confidence
1;0.570;1.065;+;0.017957;5;0.055230;0.674881
2;1.710;2.515;8;0.018695;1;0.054878;0.659334
3;2.950;3.535;9;0.032004;3;0.045316;0.293762
4;4.030;4.735;1;0.020223;3;0.038496;0.474687
5;5.230;5.875;7;0.024501;4;0.064233;0.618564
6;6.420;7.035;7;0.022302;4;0.068278;0.673366
7;7.430;8.135;4;0.028218;3;0.044124;0.360488
8;8.620;9.225;2;0.028629;0;0.037641;0.239432
9;9.770;10.205;5;0.037951;+;0.054126;0.298843
10;10.790;11.345;2;0.035242;0;0.037370;0.056949
11;11.750;12.435;1;0.029417;3;0.052816;0.443024
12;12.940;13.305;0;0.036943;2;0.043346;0.147720
